"%s was successfully added to your shopping cart.","%s ถูกเพิ่มลงในรถเข็นของคุณแล้ว"
"&laquo; Back to Billing Information","&laquo; กลับไปยังข้อมูลสำหรับออกใบเสร็จ"
"&laquo; Back to Select Addresses","&laquo; กลับไปยังหน้าสำหรับเลือกที่อยู่"
"&laquo; Back to Shopping Cart","&laquo; กลับไปยังรถเข็น"
"* Required Fields","* ฟิลด์ที่จำเป็น"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add New Condition","Add New Condition"
"Add to Cart","เพิ่มไปยังรถเข็น"
"Add to Compare","เพิ่มไปเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"Address","ที่อยู่"
"Address %s of %s","ที่อยู่ %s ของ %s"
"After adding a product redirect to shopping cart","หลังจากเพิ่มสินค้าให้กลับไปยังรถเข็น"
"Allow Guest Checkout","อนุญาตให้ลูกค้าทำการจ่ายเงินได้"
"Already registered?","ลงทะเบียนแล้ว?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","นำคูปองไปใช้"
"Are you sure you would like to remove this item from the shopping cart?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจากรถเข็น?"
"Back","กลับ"
"Back to Shipping Information","กลับไปยังหน้าข้อมูลการจัดส่งสินค้า"
"Based on your selection, you may be interested in the following items:","เมื่อดูจากการเลือกซื้อของคุณ คุณอาจจะสนใจในรายการต่าง ๆ ดังต่อไปนี้:"
"Billing Address","ที่อยู่สำหรับออกใบเสร็จ"
"Billing Information","ข้อมูลในการออกใบเสร็จ"
"Billing Information - %s","ข้อมูลการออกใบเสร็จ - %s"
"Can not add item to shopping cart","ไม่สามารถเพิ่มรายการสินค้าลงในรถเข็นได้"
"Can not apply coupon code.","ไม่สามารถนำรหัสคูปองไปใช้ได้"
"Can't open overview page","Can't open overview page"
"Cancel Coupon","ยกเลิกคูปอง"
"Cannot remove item","ไม่สามารถลบรายการสินค้าออก"
"Cannot update shopping cart","ไม่สามารถอัพเดทรถเข็นได้"
"Card Verification Number Visual Reference","การอ้างอิงถึงหมายเลขยืนยันบัตรเครดิตที่มองเห็น"
"Cart Subtotal:","ยอดรวมสินค้าในรถเข็น:"
"Change","Change"
"Change Billing Address","เปลี่ยนแปลงที่อยู่สำหรับออกใบเสร็จ"
"Checkbox text","Checkbox text"
"Checkout","จ่ายเงิน"
"Checkout Conditions","เงื่อนไขการสั่งซื้อสินค้า"
"Checkout Options","ตัวเลือกการจ่ายเงิน"
"Checkout Section","จุดจ่ายเงิน"
"Checkout Terms and Conditions","ขอบเขตและเงื่อนไขการจ่ายเงิน"
"Checkout as Guest","จ่ายเงินในฐานะผู้เยี่ยมชม"
"Checkout as a Guest or Register","จ่ายเงินในฐานะผู้เยี่ยมชมหรือลงทะเบียน"
"Checkout method","วิธีการจ่ายเงิน"
"Checkout with Multiple Addresses","จ่ายเงินด้วยที่อยู่หลายที่"
"City","เมือง"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","ปิด"
"Company","บริษัท"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","สามารถแก้ไขรูปสินค้า"
"Confirm Password","ยืนยันรหัสผ่าน"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","ดำเนินการต่อ"
"Continue Shopping","เลือกซื้อสินค้าต่อ"
"Continue to Billing Information","ดำเนินการส่วนข้อมูลการออกใบเสร็จต่อ"
"Continue to Review Your Order","ทำการตรวจสอบออเดอร์ของคุณต่อ"
"Continue to Shipping Information","ดำเนินการต่อในข้อมูลการจัดส่งสินค้า"
"Country","ประเทศ"
"Coupon code ""%s"" is not valid.","รหัสคูปอง ""%s"" ไม่ถูกต้อง"
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","ยกเลิกรหัสคูปองสำเร็จ."
"Create Billing Address","สร้างที่อยู่สำหรับออกใบเสร็จ"
"Create Shipping Address","สร้างที่อยู่สำหรับจัดส่งสินค้า"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","ปัญหาในการบันทึกข้อมูล"
"Default Billing","ค่าเริ่มต้นสำหรับออกใบเสร็จ"
"Default Shipping","ค่าเริ่มต้นการจัดส่งสินค้า"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","รหัสส่วนลด"
"Display Cart Summary","แสดงสรุปรายละเอียดรถเข็น"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","แสดงจำนวนรายการสินค้า"
"Display number of items in cart","แสดงจำนวนรายการในรถเข็น"
"Easy access to your order history and status","เข้าถึงข้อมูลประวัติคำสั่งซื้อและสถานะคำสั่งซื้อ์ต่างๆ ได้ง่าย"
"Edit","แก้ไข"
"Edit Address","แก้ไขที่อยู่"
"Edit Billing Address","แก้ไขที่อยู่สำหรับออกใบเสร็จ"
"Edit Items","แก้ไขรายการสินค้า"
"Edit Shipping Address","แก้ไขที่อยู่สำหรับจัดส่งสินค้า"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","แก้ไขรถเข็นของคุณ"
"Email Address","อีเมลล์"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
